group,eps,case,relerr
diag,1e-4,1,1.092868022568858e-11
diag,1e-4,1,3.217316992896434e-13
diag,1e-4,1,4.576939498485362e-13
diag,1e-4,1,2.702222645027298e-13
diag,1e-4,1,6.101435850104001e-12
diag,1e-4,1,5.222968478822336e-12
diag,1e-4,1,1.431948692726223e-09
diag,1e-4,1,3.603798123208492e-10
diag,1e-4,1,3.944893006794890e-08
diag,1e-4,1,1.610217735239058e-09
diag,1e-4,1,1.208486265645363e-10
diag,1e-4,1,8.592867797919098e-14
diag,1e-4,1,1.817793353328789e-09
diag,1e-4,1,2.183574648864451e-06
diag,1e-4,1,2.237805271882063e-14
diag,1e-4,1,1.410393610764057e-07
diag,1e-4,1,3.744231784972361e-11
diag,1e-4,1,4.961740399417115e-12
diag,1e-4,1,6.965868974000446e-10
diag,1e-4,1,3.893031053225684e-09
diag,1e-4,1,1.557976168165421e-11
diag,1e-4,1,1.964746974754615e-11
diag,1e-4,1,4.475783162595621e-14
diag,1e-4,1,4.294357236320746e-13
diag,1e-4,1,1.033475465707967e-10
diag,1e-4,1,2.049550575378369e-13
diag,1e-4,1,3.657802519294011e-08
diag,1e-4,1,3.357869256387681e-10
diag,1e-4,1,2.634247670201842e-10
diag,1e-4,1,9.308823901653394e-08
diag,1e-4,1,1.645510771735335e-06
diag,1e-4,1,5.010544235478854e-11
diag,1e-4,1,2.082444202504200e-12
diag,1e-4,1,1.703975349277423e-08
diag,1e-4,1,2.723525137041112e-12
diag,1e-4,1,4.146087655663882e-10
diag,1e-4,1,2.812216366841313e-12
diag,1e-4,1,1.388530826205783e-09
diag,1e-4,1,8.854287790914349e-13
diag,1e-4,1,2.893361097207359e-12
diag,1e-4,1,2.747316588015641e-13
diag,1e-4,1,7.768727829122450e-10
diag,1e-4,1,4.904633448683112e-13
diag,1e-4,1,7.383959299740286e-13
diag,1e-4,1,2.441999094776222e-06
diag,1e-4,1,1.142272501894555e-12
diag,1e-4,1,1.610758571526120e-08
diag,1e-4,1,2.800196614753548e-12
diag,1e-4,1,3.776406878402144e-11
diag,1e-4,1,3.810199873916997e-12
diag,1e-4,1,9.285772196484392e-08
diag,1e-4,1,2.334223053096653e-12
diag,1e-4,1,9.279685484351829e-12
diag,1e-4,1,1.429347847502998e-13
diag,1e-4,1,1.969478853767139e-08
diag,1e-4,1,7.122588780491397e-07
diag,1e-4,1,4.620809687928261e-11
diag,1e-4,1,1.288294433017758e-13
diag,1e-4,1,1.665085957662329e-11
diag,1e-4,1,2.082262370356354e-11
diag,1e-4,1,1.638615989463813e-13
diag,1e-4,1,1.563846071133644e-07
diag,1e-4,1,5.066274181794248e-09
diag,1e-4,1,2.854787160004459e-10
diag,1e-4,1,1.733854898827860e-09
diag,1e-4,1,6.131821996437443e-14
